,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
386,Jack,Harrison,0,0,4,84,1,7.6,10.6,4.0,0,20,2.3,0,0,0,0.1,53,MID,0.8
387,Daniel,James,0,0,7,212,4,31.1,11.8,29.0,0,23,7.2,1,0,0,0.2,53,MID,1.3
388,Ethan,Ampadu,0,0,11,257,2,12.4,41.6,3.0,0,45,5.7,1,0,0,0.1,49,MID,2.2
389,Sam,Greenwood,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
390,Ilia,Gruev,0,0,7,193,5,8.6,24.6,2.0,0,40,3.5,1,0,0,0.0,49,MID,1.4
391,Largie,Ramazani,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
392,Tanaka,Ao,0,0,5,154,4,27.6,4.2,9.0,0,19,4.1,1,0,0,0.1,49,MID,1.0
393,Charlie,Crew,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
394,Joe,Gelhardt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
395,Darko,Gyabi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
396,Joël,Piroe,0,0,3,134,4,6.9,2.0,44.0,0,7,5.3,1,0,0,0.6,53,FWD,0.6
397,Patrick,Bamford,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,49,FWD,0.0
398,Mateo,Joseph Fernández-Regatillo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,FWD,0.0
399,Lukas,Nmecha,1,0,10,135,2,8.1,45.6,33.0,0,35,8.6,1,0,0,0.8,50,FWD,2.0
400,Sean,Longstaff,0,0,11,295,3,19.0,42.6,12.0,0,52,7.4,1,0,0,0.2,49,MID,2.2
401,Anton,Stach,1,2,29,450,7,167.1,111.6,59.0,3,96,33.8,2,0,1,1.6,50,MID,5.8
402,Lucas Estella,Perri,0,0,12,270,5,0.0,29.2,0.0,0,36,2.9,2,0,0,0.3,45,GK,2.7
403,Dominic,Calvert-Lewin,1,1,14,178,1,32.2,41.8,60.0,2,48,13.5,1,0,0,0.5,55,FWD,2.5
404,Noah,Okafor,1,0,11,160,2,20.4,47.4,40.0,1,30,10.8,1,0,1,0.1,55,MID,2.0
405,James,Justin,0,0,2,17,0,0.0,4.0,0.0,0,7,0.4,0,0,0,0.2,40,DEF,0.5
406,Harry,Gray,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD,0.0
407,Alisson,Becker,0,0,18,450,5,0.1,60.6,0.0,2,74,6.1,2,0,0,10.7,55,GK,3.3
408,Giorgi,Mamardashvili,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,43,GK,0.0
409,Ármin,Pécsi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,GK,0.0
410,Freddie,Woodman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK,0.0
411,Jeremie,Frimpong,0,1,5,62,0,1.9,8.4,21.0,0,22,3.2,0,0,0,8.5,59,DEF,0.8
412,Milos,Kerkez,0,0,11,366,3,38.5,72.2,12.0,0,53,12.4,1,0,2,5.1,59,DEF,1.9
413,Andrew,Robertson,0,0,1,82,2,72.1,30.0,25.0,0,17,12.8,0,0,0,1.1,59,DEF,0.2
414,Virgil,van Dijk,0,0,26,450,5,22.4,166.6,29.0,4,91,21.8,2,0,0,29.8,61,DEF,4.3
415,Ibrahima,Konaté,0,0,20,434,5,29.8,99.0,14.0,3,75,14.3,2,0,1,3.4,55,DEF,3.6
416,Conor,Bradley,0,0,2,145,2,13.5,17.2,18.0,0,5,4.8,0,0,2,0.1,50,DEF,0.4
417,Joe,Gomez,0,0,2,29,1,0.5,14.6,0.0,0,5,1.5,0,0,0,0.1,50,DEF,0.4
418,Konstantinos,Tsimikas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48,DEF,0.0
419,Amara,Nallo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF,0.0
